-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.18%     119.994ms        10.79%        7.378s       2.331ms        2.216s         3.51%        2.232s     705.326us          3165  
       autograd::engine::evaluate_function: MmBackward0         0.01%       6.814ms        10.55%        7.217s      15.036ms       0.000us         0.00%     417.620ms     870.043us           480  
                                            MmBackward0         0.02%      13.901ms        10.54%        7.211s      15.022ms       0.000us         0.00%     417.620ms     870.043us           480  
                                       cuLaunchKernelEx         8.49%        5.809s         8.50%        5.811s       1.100ms       0.000us         0.00%      10.351ms       1.960us          5281  
                                            aten::copy_         0.19%     128.953ms         7.53%        5.152s     297.340us        1.421s         2.25%        1.422s      82.046us         17328  
                                               aten::to         0.01%       6.205ms         7.05%        4.820s     490.562us       0.000us         0.00%     596.498ms      60.712us          9825  
                                         aten::_to_copy         0.03%      21.184ms         7.04%        4.814s       1.046ms       0.000us         0.00%     596.498ms     129.673us          4600  
                                       cudaLaunchKernel         4.62%        3.158s         5.46%        3.736s      62.123us       0.000us         0.00%     122.087ms       2.030us         60136  
                                  cudaDeviceSynchronize         4.84%        3.307s         4.84%        3.307s     300.680ms       0.000us         0.00%     514.257us      46.751us            11  
                                        cudaMemsetAsync         2.27%        1.553s         2.34%        1.601s     248.757us       0.000us         0.00%      57.292ms       8.903us          6435  
                                              aten::mul         0.44%     302.652ms         2.18%        1.493s     106.280us        2.305s         3.65%        2.315s     164.727us         14051  
                                              aten::sum         0.05%      37.543ms         1.90%        1.301s     607.302us     234.153ms         0.37%     234.153ms     109.264us          2143  
                                         aten::rms_norm         0.03%      19.908ms         0.98%     671.165ms     784.988us       0.000us         0.00%     760.159ms     889.075us           855  
      autograd::engine::evaluate_function: PowBackward0         0.02%      10.719ms         0.96%     656.030ms       1.491ms       0.000us         0.00%     268.873ms     611.076us           440  
                                           PowBackward0         0.01%       9.446ms         0.92%     628.688ms       1.429ms       0.000us         0.00%     190.685ms     433.375us           440  
                                      aten::convolution         0.01%       8.366ms         0.78%     533.462ms     489.415us       0.000us         0.00%        1.008s     924.538us          1090  
                                     aten::_convolution         0.01%       8.755ms         0.77%     525.096ms     481.740us       0.000us         0.00%        1.008s     924.538us          1090  
                                           aten::conv2d         0.00%       2.091ms         0.77%     524.900ms     490.561us       0.000us         0.00%        1.042s     973.476us          1070  
autograd::engine::evaluate_function: torch::autograd...         0.03%      23.335ms         0.67%     457.525ms     122.991us       0.000us         0.00%        5.173s       1.391ms          3720  
                                aten::cudnn_convolution         0.06%      43.396ms         0.65%     443.132ms     418.049us     641.663ms         1.02%     779.956ms     735.808us          1060  
                        torch::autograd::AccumulateGrad         0.34%     230.995ms         0.63%     434.190ms     116.718us       0.000us         0.00%        5.173s       1.391ms          3720  
                     aten::scaled_dot_product_attention         0.01%       9.277ms         0.60%     409.099ms     705.342us       0.000us         0.00%       12.076s      20.820ms           580  
                                           aten::linear         0.03%      21.622ms         0.57%     390.047ms     119.098us       0.000us         0.00%        3.106s     948.377us          3275  
                                              aten::pow         0.07%      48.992ms         0.55%     376.753ms     176.797us     107.093ms         0.17%     161.651ms      75.857us          2131  
                                    cudaLaunchKernelExC         0.03%      17.340ms         0.45%     307.093ms     121.141us       0.000us         0.00%      85.943ms      33.902us          2535  
              aten::_scaled_dot_product_flash_attention         0.39%     266.919ms         0.43%     291.833ms     729.583us       0.000us         0.00%       12.025s      30.063ms           400  
                                              aten::cat         0.07%      46.922ms         0.35%     236.668ms      79.499us     750.456ms         1.19%     754.075ms     253.300us          2977  
                                             aten::add_         0.07%      47.970ms         0.30%     204.954ms      35.650us     631.784ms         1.00%     638.880ms     111.129us          5749  
                                        cudaMemcpyAsync         0.27%     185.246ms         0.27%     186.379ms      23.876us       0.000us         0.00%       8.992us       0.001us          7806  
                                       aten::layer_norm         0.01%       6.573ms         0.27%     183.053ms      97.110us       0.000us         0.00%        1.629s     863.939us          1885  
                                            aten::addmm         0.15%     100.797ms         0.24%     162.547ms      79.291us        2.116s         3.35%        2.119s       1.034ms          2050  
                                            aten::clone         0.01%       9.543ms         0.23%     159.579ms      43.661us       0.000us         0.00%     532.430ms     145.672us          3655  
    autograd::engine::evaluate_function: RsqrtBackward0         0.01%       4.748ms         0.23%     158.567ms     364.521us       0.000us         0.00%       2.499ms       5.746us           435  
                                         RsqrtBackward0         0.01%       8.586ms         0.22%     153.819ms     353.606us       0.000us         0.00%       2.499ms       5.746us           435  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 68.396s
Self CUDA time total: 63.124s
