-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
         nvjet_tst_192x192_64x4_1x1_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     176.648ms         0.31%     176.648ms       2.718ms            65  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     176.406ms         0.31%     176.406ms     441.015us           400  
                                              aten::add         0.08%      39.816ms         0.13%      68.066ms      21.324us     173.777ms         0.31%     173.780ms      54.442us          3192  
              nvjet_tst_128x256_64x4_2x1_v_bz_coopA_NTN         0.00%       0.000us         0.00%       0.000us       0.000us     173.703ms         0.31%     173.703ms       1.287ms           135  
autograd::engine::evaluate_function: SelectBackward0...         0.01%       6.677ms         0.12%      62.296ms      83.284us       0.000us         0.00%     161.571ms     216.004us           748  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     157.348ms         0.28%     157.348ms      86.646us          1816  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     150.923ms         0.27%     150.923ms     113.476us          1330  
         nvjet_tst_192x192_64x4_1x2_h_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     149.265ms         0.26%     149.265ms       1.114ms           134  
                                              aten::sum         0.07%      35.849ms         2.11%        1.093s     509.064us     139.262ms         0.25%     144.857ms      67.438us          2148  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 51.839s
Self CUDA time total: 56.778s


-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaStreamSynchronize        53.00%       27.475s        53.00%       27.476s      17.658ms       0.000us         0.00%     534.127us       0.343us          1556  
                                             aten::item         0.00%       1.400ms        48.07%       24.920s      28.876ms       0.000us         0.00%       1.478ms       1.713us           863  
                              aten::_local_scalar_dense         0.01%       5.242ms        48.07%       24.918s      28.874ms       1.120ms         0.00%       1.478ms       1.713us           863  
      autograd::engine::evaluate_function: MulBackward0         0.07%      37.557ms        38.60%       20.008s       6.091ms       0.000us         0.00%        4.638s       1.412ms          3285  
                                           MulBackward0         0.48%     247.510ms        36.45%       18.893s       5.751ms       0.000us         0.00%        4.530s       1.379ms          3285  
                                           Unrecognized        13.42%        6.957s        13.42%        6.957s       2.487ms       2.591ms         0.00%       4.201ms       1.502us          2797  
                                  cudaDeviceSynchronize        13.34%        6.913s        13.34%        6.914s     628.515ms      11.487us         0.00%     139.643us      12.695us            11  
                                       cudaLaunchKernel         7.58%        3.929s         7.63%        3.955s      69.650us       0.000us         0.00%     848.901us       0.015us         56782  
                                               aten::mm         0.29%     148.868ms         7.11%        3.686s       1.164ms        1.226s         2.16%        1.227s     387.820us          3165  
       autograd::engine::evaluate_function: MmBackward0         0.01%       6.642ms         6.83%        3.542s       7.378ms       0.000us         0.00%     253.755ms     528.656us           480  
                                            MmBackward0         0.03%      13.236ms         6.82%        3.535s       7.365ms       0.000us         0.00%     253.755ms     528.656us           480  
                                            aten::copy_         0.23%     117.323ms         5.63%        2.918s     186.894us     764.672ms         1.35%     764.855ms      48.985us         15614  
                                       cuLaunchKernelEx         5.35%        2.775s         5.35%        2.775s     525.531us       0.000us         0.00%       1.082ms       0.205us          5281  
                                               aten::to         0.02%       8.536ms         5.26%        2.724s     287.604us       0.000us         0.00%     349.035ms      36.849us          9472  
                                         aten::_to_copy         0.04%      20.895ms         5.24%        2.716s     585.647us       0.000us         0.00%     349.035ms      75.272us          4637  
                                              aten::mul         0.56%     288.261ms         4.57%        2.367s     170.770us        1.172s         2.06%        1.173s      84.631us         13861  
      autograd::engine::evaluate_function: PowBackward0         0.02%       9.190ms         3.64%        1.887s       4.289ms       0.000us         0.00%     128.630ms     292.341us           440  
                                           PowBackward0         0.02%       8.493ms         3.61%        1.869s       4.248ms       0.000us         0.00%      91.995ms     209.079us           440  
                                              aten::sum         0.07%      35.849ms         2.11%        1.093s     509.064us     139.262ms         0.25%     144.857ms      67.438us          2148  
                                        cudaMemsetAsync         1.60%     827.777ms         1.60%     827.842ms     139.414us       0.000us         0.00%     187.418us       0.032us          5938  
